Легенда,,,,,,,,,
,Обязательные,,Обязательные для текущего грейда,,,,,,
,Желательные,,Рекомендуемые на текущем грейде - становятся обязательными на следующем,,,,,,
,Дополнительные,,"Дополнительные на текущем грейде - не являются обязательными на следующем грейде, пока не указано явно",,,,,,
,Опционально,,"Не являются обязательными, но дают дополнительные баллы",,,,,,
,Включает все предыдущие компетенции,,Включает указанные предыдущие компетенции,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,"Младший Инженер Автоматизации Тестирования
Junior AQA Engineer (E1)",,"Инженер Автоматизации Тестирования
Middle AQA Engineer (E2)",,"Стариший инженер Автоматизации Тестирования
Senior AQA Engineer (E3)",
,,,,E1.1,E1.2,E2.1,E2.2,E3.1,E3.2
Technical Skills,Инструменты,Git,,Использование клиента Git в IDE,E1.1,"Комманды git:
- branch
- commit
- push","Резрешение конфликтов слияния:
- merge","Команды git:
- fetch
- merge
- cherry-pick",E1.1 - E3.1
,,,,,,"Команды git:
- pull
- регулярный merge изменений из основной ветки в свою feture ветку
",,,
,,Maven,,n/a (not applicable at this level),n/a (not applicable at this level),"Основные теги maven: 
- dependencies
- plugins
Область видимости зависимости (scope):
- test
- compile","scope:
- runtime
- provided
properties:
- версии зависимостей","Maven - модель зависимостей - https://maven.apache.org/pom.html
Транзитивные зависимости:
- exclusion
- type pom
- type optional
Плагины:
- maven-compile-plugin
- maven-surefire-plugin",E1.1 - E3.1
,,Colsole,,"1. Умеет подключаться по SSH, знает программы для подключения в той ОС которую использует.
2. Умеет переходить к нужным папкам и файлам, просматривать и редактировать нужные файлы.
3. Умеет открывать FTP соединение, копировать файлы и папки на удаленный сервер или к себе
 на компьютер, знает программы для подключения в той ОС которую использует.
4. Может настроить OpenVPN соединение","1. Умеет просматривать и управлять системными процессами.
2. Умеет устанавливать необходимое ПО с помощью менеджера приложений, из пакетов, и скачивая на комп 
дистрибутивы.
3. Умеет находить нужные файлы и папки, по названию, содержимому или другим признакам,  использует piping 
и wildcards
4. Умеет работать с файловой системой, создание, удаление и просмотр файлов и папок.
5. Знает как посмотреть информацию о системе, может определить  свободное место на диске, свободную память, 
получить информацию о сетевых интерфейсах.","1. Понимает принципы работы DNS, маршрутизации.
2. Умеет управлять службами с помощью systemctl
3. Понимает значение многих ошибок, умеет гуглить и искать решение.",E1.1 - E2.1,E1.1 - E2.1,E1.1 - E2.1
,,Postgres,,"1. понимание что такое БД 
2. Знания как зайти в БД тестовых сред. Найти нужную таблицу. 
3. Простые select запросы. 
4. Понимание различий в типах данных.","1. Понимание взаимосвязей таблиц. 
2. объединение таблиц. join запросы. Группировки, 
3. Операторы LIKE, Between и другие. 
4. SQL инъекции","1. Индексы
2. транзакции
3. функции. ",E1.1 - E2.1,E1.1 - E2.1,E1.1 - E2.1
,,Kubernetes,,n/a (not applicable at this level),"1. Знает что такое k8s, для чего используетя. 
2. Знает как зайти в k8s-local.cdek и посмотреть работающие сервисы на определённой среде.
3. Знает как осущетсвляется деплой модулей на среду, 
","1. Умеет пользоваться фильтрами в opensearch и искать лог по нужным ключам.
2. Знает основные понятия (master, nodes, pod, cluster, namespace).
3. Знает основы контейнеризации приложений, зачем нужен Docker.
4. Знает где смотреть логи модуля работающего в k8s, как рестартовать сервисы.","1. Умеет пользоваться kubectl, знает основные команды.
2. Может локально развернуть модуль в k8s, docker",E1.1 - E2.2,Может настроить свой модуль в кубах для автоматизации тестирования
,,Consul,,n/a (not applicable at this level),"1. Определение и понимание Service discovery
2. Что такое консул
3. Что такое ноды, доменное имя, health check
4. Регистрация в консуле. ","1. Просмотр конфигов модуля.
2. Изменение конфигов модуля
3. Перерегистрация модуля. 
",E1.1 - E2.1,E1.1 - E2.1,E1.1 - E2.1
,,Swagger,,n/a (not applicable at this level),"1.Знает о существовании инструмента
2.Может найти api необходимых модулей",1.Знает Swagger Core (Спецификацию в JAVA)*,E1.1 - E2.1,E1.1 - E2.1,E1.1 - E2.1
